,gyroX,gyroY,gyroZ,lowAccelX,lowAccelY,lowAccelZ,highAccelX,highAccelY,highAccelZ,sport
853,-1560.0,-3089.0,951.0,-4244.0,-3375.0,356.0,-824.0,63.0,435.0,hwl
854,-1643.0,-2899.0,614.0,-4214.0,-3480.0,-51.0,-821.0,52.0,395.0,hwl
855,-1767.0,-2709.0,256.0,-4048.0,-3517.0,-621.0,-804.0,49.0,338.0,hwl
856,-1924.0,-2429.0,-104.0,-3805.0,-3457.0,-1274.0,-780.0,55.0,273.0,hwl
857,-2057.0,-1986.0,-500.0,-3519.0,-3027.0,-2270.0,-751.0,98.0,173.0,hwl
858,-2190.0,-1440.0,-860.0,-3787.0,-2340.0,-3500.0,-778.0,166.0,50.0,hwl
859,-2260.0,-960.0,-1130.0,-4000.0,-1540.0,-4280.0,-800.0,246.0,-28.0,hwl
860,-2078.0,692.0,-1533.0,-3860.0,-227.0,-5050.0,-786.0,378.0,-105.0,hwl
861,-1606.0,1816.0,-1868.0,-4103.0,745.0,-6269.0,-810.0,474.0,-226.0,hwl
862,-731.0,2982.0,-2243.0,-4321.0,2107.0,-7630.0,-832.0,610.0,-363.0,hwl
863,500.0,4181.0,-2569.0,-4470.0,3538.0,-8676.0,-847.0,753.0,-467.0,hwl
864,2122.0,5127.0,-2860.0,-4961.0,4610.0,-9110.0,-896.0,861.0,-511.0,hwl
865,3938.0,5401.0,-3190.0,-5378.0,5622.0,-8764.0,-937.0,962.0,-476.0,hwl
866,5836.0,4552.0,-3500.0,-5821.0,6212.0,-8442.0,-982.0,1021.0,-444.0,hwl
867,7184.0,2818.0,-3830.0,-5884.0,10348.0,-7478.0,-988.0,1434.0,-347.0,hwl
868,6902.0,88.0,-3608.0,-836.0,22052.0,2902.0,-483.0,2605.0,690.0,hwl
869,2562.0,-3966.0,-1718.0,19258.0,8076.0,31118.0,1525.0,1207.0,3511.0,hwl
870,-2389.0,865.0,-1499.0,4861.0,11177.0,6253.0,86.0,1517.0,1025.0,hwl
871,-2133.0,3725.0,-1317.0,1544.0,4910.0,-145.0,-246.0,891.0,386.0,hwl
872,-806.0,4023.0,-1281.0,-1322.0,3320.0,394.0,-532.0,732.0,439.0,hwl
873,350.0,3235.0,-1720.0,-3799.0,2632.0,384.0,-779.0,663.0,438.0,hwl
874,1616.0,918.0,-2214.0,-6676.0,2834.0,-1788.0,-1067.0,683.0,222.0,hwl
875,2812.0,-894.0,-2394.0,-3782.0,1666.0,-3192.0,-778.0,566.0,81.0,hwl
876,3890.0,-1062.0,-1936.0,-1356.0,1170.0,-2396.0,-535.0,517.0,161.0,hwl
877,4782.0,278.0,-1488.0,-320.0,688.0,-1438.0,-432.0,468.0,257.0,hwl
878,5292.0,1938.0,-1200.0,-600.0,412.0,-340.0,-460.0,441.0,366.0,hwl
879,5270.0,3120.0,-985.0,-1780.0,-20.0,735.0,-578.0,398.0,473.0,hwl
880,4260.0,3515.0,-790.0,-2795.0,-1645.0,2728.0,-679.0,236.0,672.0,hwl
881,3650.0,3240.0,-904.0,-2795.0,-2240.0,3432.0,-679.0,176.0,743.0,hwl
882,3090.0,2906.0,-1196.0,-2850.0,-2528.0,3938.0,-685.0,148.0,793.0,hwl
883,2538.0,2664.0,-1580.0,-2728.0,-2642.0,4308.0,-672.0,136.0,830.0,hwl
884,2116.0,2484.0,-1944.0,-2608.0,-2580.0,4752.0,-660.0,142.0,875.0,hwl
885,1762.0,2408.0,-2230.0,-2678.0,-2340.0,5266.0,-667.0,166.0,926.0,hwl
886,1402.0,2424.0,-2456.0,-2718.0,-1926.0,5610.0,-671.0,208.0,961.0,hwl
887,986.0,2531.0,-2608.0,-2704.0,-1464.0,5551.0,-670.0,254.0,955.0,hwl
888,481.0,2675.0,-2748.0,-2637.0,-1131.0,5115.0,-663.0,287.0,911.0,hwl
889,60.0,2790.0,-2888.0,-2666.0,-931.0,4376.0,-666.0,307.0,837.0,hwl
890,-756.0,2878.0,-3174.0,-2805.0,-524.0,2890.0,-680.0,348.0,689.0,hwl
891,-1094.0,2888.0,-3232.0,-2916.0,-328.0,2402.0,-691.0,368.0,640.0,hwl
892,-1336.0,2882.0,-3208.0,-2980.0,-218.0,1974.0,-698.0,379.0,597.0,hwl
893,-1484.0,2864.0,-3104.0,-2878.0,-96.0,1586.0,-687.0,391.0,558.0,hwl
894,-1542.0,2812.0,-2927.0,-2658.0,56.0,1240.0,-665.0,405.0,524.0,hwl
895,-1523.0,2719.0,-2748.0,-2498.0,106.0,904.0,-649.0,410.0,490.0,hwl
896,-1430.0,2575.0,-2568.0,-2362.0,128.0,573.0,-636.0,412.0,457.0,hwl
897,-1285.0,2299.0,-2388.0,-2233.0,112.0,252.0,-623.0,411.0,425.0,hwl
898,-1135.0,1901.0,-2235.0,-2130.0,38.0,-70.0,-613.0,403.0,393.0,hwl
899,-1003.0,1428.0,-2050.0,-2057.0,-50.0,-300.0,-605.0,395.0,370.0,hwl
900,-840.0,170.0,-1700.0,-1740.0,-240.0,-520.0,-574.0,376.0,348.0,hwl
901,-820.0,-460.0,-1504.0,-1550.0,-375.0,-539.0,-555.0,363.0,347.0,hwl
902,-809.0,-1102.0,-1346.0,-1378.0,-525.0,-637.0,-537.0,348.0,337.0,hwl
903,-798.0,-1612.0,-1207.0,-1347.0,-678.0,-805.0,-534.0,333.0,320.0,hwl
904,-778.0,-2020.0,-1076.0,-1209.0,-856.0,-956.0,-520.0,315.0,305.0,hwl
905,-756.0,-2307.0,-930.0,-1002.0,-1016.0,-1122.0,-500.0,299.0,288.0,hwl
906,-717.0,-2474.0,-838.0,-825.0,-1200.0,-1206.0,-482.0,280.0,280.0,hwl
907,-684.0,-2522.0,-782.0,-668.0,-1388.0,-1168.0,-466.0,262.0,284.0,hwl
908,-660.0,-2462.0,-742.0,-506.0,-1510.0,-1024.0,-450.0,249.0,298.0,hwl
909,-676.0,-2270.0,-690.0,-138.0,-1550.0,-670.0,-413.0,245.0,333.0,hwl
910,-982.0,-1140.0,-381.0,61.0,-1943.0,173.0,-394.0,206.0,417.0,hwl
911,-1095.0,-730.0,-278.0,-136.0,-2075.0,41.0,-413.0,193.0,404.0,hwl
912,-1142.0,-578.0,-247.0,-253.0,-2010.0,-201.0,-425.0,199.0,380.0,hwl
913,-1179.0,-586.0,-236.0,-378.0,-1948.0,-478.0,-437.0,206.0,353.0,hwl
914,-1208.0,-762.0,-230.0,-585.0,-1980.0,-674.0,-458.0,202.0,333.0,hwl
915,-1220.0,-1004.0,-238.0,-776.0,-2034.0,-814.0,-477.0,197.0,319.0,hwl
916,-1208.0,-1244.0,-258.0,-884.0,-2070.0,-916.0,-488.0,193.0,309.0,hwl
917,-1162.0,-1426.0,-282.0,-932.0,-2078.0,-1000.0,-493.0,193.0,300.0,hwl
918,-1072.0,-1530.0,-315.0,-958.0,-2100.0,-1050.0,-495.0,190.0,295.0,hwl
919,-920.0,-1530.0,-335.0,-990.0,-2120.0,-1080.0,-499.0,188.0,292.0,hwl
920,-530.0,-1340.0,-280.0,-1095.0,-2178.0,-1060.0,-509.0,183.0,294.0,hwl
921,-282.0,-1180.0,-218.0,-1100.0,-2184.0,-1004.0,-510.0,182.0,300.0,hwl
922,-58.0,-1024.0,-142.0,-1050.0,-2132.0,-914.0,-505.0,187.0,309.0,hwl
923,156.0,-858.0,-68.0,-1000.0,-2028.0,-792.0,-500.0,198.0,321.0,hwl
924,342.0,-694.0,-16.0,-974.0,-1824.0,-644.0,-497.0,218.0,336.0,hwl
925,482.0,-522.0,21.0,-886.0,-1538.0,-538.0,-488.0,247.0,347.0,hwl
926,586.0,-303.0,44.0,-686.0,-1215.0,-401.0,-468.0,279.0,360.0,hwl
927,638.0,-30.0,78.0,-492.0,-984.0,-217.0,-449.0,302.0,379.0,hwl
928,650.0,333.0,132.0,-555.0,-881.0,-62.0,-455.0,312.0,394.0,hwl
929,629.0,660.0,199.0,-733.0,-839.0,44.0,-473.0,317.0,404.0,hwl
930,522.0,692.0,414.0,-940.0,-806.0,-54.0,-494.0,320.0,395.0,hwl
931,438.0,436.0,576.0,-944.0,-688.0,-224.0,-494.0,332.0,378.0,hwl
932,340.0,116.0,770.0,-932.0,-620.0,-404.0,-493.0,338.0,360.0,hwl
933,232.0,-283.0,1017.0,-866.0,-556.0,-456.0,-486.0,345.0,355.0,hwl
934,120.0,-635.0,1265.0,-778.0,-487.0,-433.0,-477.0,352.0,357.0,hwl
935,29.0,-922.0,1542.0,-698.0,-444.0,-358.0,-469.0,356.0,365.0,hwl
936,-25.0,-1121.0,1831.0,-627.0,-368.0,-215.0,-462.0,364.0,379.0,hwl
937,-75.0,-1212.0,2130.0,-539.0,-306.0,0.0,-453.0,370.0,400.0,hwl
938,-125.0,-1211.0,2480.0,-512.0,-280.0,160.0,-451.0,372.0,416.0,hwl
939,-190.0,-1150.0,2800.0,-679.0,-190.0,300.0,-467.0,381.0,430.0,hwl
940,-350.0,-990.0,3504.0,-1300.0,90.0,483.0,-530.0,409.0,448.0,hwl
941,-474.0,-964.0,3840.0,-1490.0,193.0,622.0,-549.0,419.0,462.0,hwl
942,-616.0,-1011.0,4133.0,-1656.0,318.0,848.0,-565.0,431.0,484.0,hwl
943,-777.0,-1120.0,4354.0,-1831.0,406.0,1134.0,-583.0,440.0,513.0,hwl
944,-949.0,-1220.0,4485.0,-2155.0,565.0,1469.0,-615.0,456.0,546.0,hwl
945,-1138.0,-1320.0,4532.0,-2595.0,702.0,1770.0,-659.0,470.0,577.0,hwl
946,-1332.0,-1426.0,4540.0,-2986.0,700.0,1974.0,-698.0,470.0,597.0,hwl
947,-1486.0,-1494.0,4532.0,-3352.0,638.0,2192.0,-735.0,463.0,619.0,hwl
948,-1600.0,-1504.0,4484.0,-3632.0,524.0,2420.0,-763.0,452.0,642.0,hwl
949,-1638.0,-1472.0,4396.0,-3826.0,382.0,2783.0,-782.0,438.0,678.0,hwl
950,-1594.0,-1396.0,4099.0,-4480.0,-82.0,3430.0,-848.0,392.0,743.0,hwl
951,-1580.0,-1431.0,3926.0,-4804.0,-319.0,3494.0,-880.0,369.0,749.0,hwl
952,-1589.0,-1528.0,3740.0,-5145.0,-537.0,3456.0,-914.0,347.0,745.0,hwl
953,-1631.0,-1715.0,3516.0,-5362.0,-778.0,3412.0,-936.0,323.0,741.0,hwl
954,-1742.0,-2022.0,3302.0,-5487.0,-1056.0,3470.0,-948.0,295.0,747.0,hwl
955,-1872.0,-2376.0,3070.0,-5586.0,-1334.0,3594.0,-958.0,267.0,759.0,hwl
956,-2068.0,-2770.0,2808.0,-5664.0,-1574.0,3594.0,-966.0,243.0,759.0,hwl
957,-2316.0,-3130.0,2508.0,-5712.0,-1756.0,3278.0,-971.0,225.0,727.0,hwl
958,-2606.0,-3358.0,2125.0,-5746.0,-2016.0,2790.0,-974.0,199.0,679.0,hwl
