exercise,gyroX_max,gyroX_mean,gyroX_min,gyroX_std,gyroY_max,gyroY_mean,gyroY_min,gyroY_std,gyroZ_max,gyroZ_mean,gyroZ_min,gyroZ_std,highAccelX_max,highAccelX_mean,highAccelX_min,highAccelX_std,highAccelY_max,highAccelY_mean,highAccelY_min,highAccelY_std,highAccelZ_max,highAccelZ_mean,highAccelZ_min,highAccelZ_std,length_exercise,length_mvt,lowAccelX_max,lowAccelX_mean,lowAccelX_min,lowAccelX_std,lowAccelY_max,lowAccelY_mean,lowAccelY_min,lowAccelY_std,lowAccelZ_max,lowAccelZ_mean,lowAccelZ_min,lowAccelZ_std
cross_shadowboxing_medium_20_T7R_1531551242371.txt,6469.0,9.685714285714285,-6130.0,2897.2235468931744,7562.0,174.68571428571428,-9640.0,3514.842417783298,4645.0,377.74285714285713,-10546.0,3838.919328196851,1925.0,-432.65714285714284,-1449.0,674.9609985620147,3262.0,389.57142857142856,-160.0,752.1474075532507,927.0,477.51428571428573,-274.0,246.77631827325774,1350.0,35.0,23250.0,-327.8,-10490.0,6751.292720657281,28628.0,-106.22857142857143,-5600.0,7524.463428537278,5274.0,777.4,-6740.0,2470.09432065684
cross_shadowboxing_medium_20_T7R_1531551242371.txt,7605.0,-199.45714285714286,-5688.0,2901.334868671327,8195.0,-248.4,-10366.0,3587.225506612892,5278.0,101.28571428571429,-11325.0,4080.5581046442835,1161.0,-425.8285714285714,-1260.0,599.7132886400204,3319.0,342.54285714285714,-282.0,832.6304647058637,1135.0,449.85714285714283,-251.0,259.2877283066442,1350.0,35.0,15615.0,-259.0285714285714,-8604.0,6000.038164024283,29190.0,-575.6,-6826.0,8328.615661398606,7354.0,499.6,-6514.0,2595.539490560455
cross_shadowboxing_medium_20_T7R_1531551242371.txt,7605.0,-188.22857142857143,-5688.0,2898.430468635155,8195.0,-210.65714285714284,-10366.0,3589.2506258914527,5278.0,109.2,-11325.0,4082.778183310679,1161.0,-429.0285714285714,-1260.0,599.8866797749627,3319.0,342.8285714285714,-282.0,832.477962460985,1135.0,449.2857142857143,-251.0,258.9893901334197,1350.0,35.0,15615.0,-290.9142857142857,-8604.0,6001.783173119707,29190.0,-572.5714285714286,-6826.0,8326.998058356057,7354.0,494.0,-6514.0,2592.6123323556017
cross_shadowboxing_medium_20_T7R_1531551242371.txt,7079.0,41.2,-5586.0,3064.3716926293773,8057.0,-59.285714285714285,-7266.0,3002.697057954522,4432.0,-79.37142857142857,-9488.0,3498.69643023289,1457.0,-397.48571428571427,-1005.0,532.6308936848885,3288.0,343.4,-186.0,767.5633409386754,946.0,426.48571428571427,-110.0,188.41652410184685,1350.0,35.0,18571.0,23.685714285714287,-6058.0,5327.892535412811,28882.0,-567.3714285714286,-5860.0,7678.061627649468,5468.0,265.9142857142857,-5104.0,1887.5534019937427
cross_shadowboxing_medium_20_T7R_1531551242371.txt,6440.0,-68.54285714285714,-5383.0,3140.0438114483572,9255.0,-195.94285714285715,-11190.0,3878.607777380474,4528.0,138.54285714285714,-9256.0,3375.7922411579457,1816.0,-382.7142857142857,-1054.0,541.3021104613541,3133.0,343.22857142857146,-230.0,704.8047742090707,957.0,455.9428571428571,-138.0,203.99941505930306,1350.0,35.0,22160.0,171.71428571428572,-6542.0,5415.247724339709,27330.0,-568.2285714285714,-6300.0,7050.464653380756,5572.0,560.7142857142857,-5386.0,2042.10540966956
cross_shadowboxing_medium_20_T7R_1531551242371.txt,6856.0,253.77142857142857,-3978.0,2803.0220675057785,9036.0,45.94285714285714,-9342.0,3107.4163652827237,3624.0,-49.6,-9347.0,3672.233886566467,1527.0,-386.77142857142854,-1047.0,534.4993856659809,2999.0,377.34285714285716,-149.0,736.0668504988942,887.0,430.6,-13.0,192.8004454473741,1350.0,35.0,19277.0,130.4,-6470.0,5348.300775782463,25992.0,-227.22857142857143,-5491.0,7362.891995300066,4875.0,307.3142857142857,-4134.0,1930.7632256735794
cross_shadowboxing_medium_20_T7R_1531551242371.txt,7035.0,-60.34285714285714,-4283.0,2893.3307891532527,6210.0,86.88571428571429,-7485.0,3015.690963370521,4413.0,173.6,-8320.0,3338.8491254252485,1551.0,-406.3142857142857,-1165.0,556.1340174617548,3028.0,351.74285714285713,-151.0,666.3024989958144,926.0,472.0285714285714,-42.0,184.49908109356468,1350.0,35.0,19518.0,-64.14285714285714,-7657.0,5564.240829475604,26280.0,-483.8,-5512.0,6665.051841288169,5268.0,720.6571428571428,-4424.0,1848.2317613593484
cross_shadowboxing_medium_20_T7R_1531551242371.txt,8232.0,52.371428571428574,-4631.0,2973.85411531226,7474.0,-61.34285714285714,-9815.0,3037.1181381161236,4709.0,-130.05714285714285,-10032.0,3795.9322961083826,1815.0,-390.8857142857143,-1154.0,586.0255852389226,3394.0,374.85714285714283,-226.0,768.1256845249289,839.0,434.7142857142857,-147.0,192.79867149721866,1350.0,35.0,22156.0,91.31428571428572,-7545.0,5863.342410421614,29948.0,-252.45714285714286,-6260.0,7684.271810357973,4399.0,348.1714285714286,-5474.0,1931.1716572453881
cross_shadowboxing_medium_20_T7R_1531551242371.txt,7560.0,-27.485714285714284,-4730.0,2777.1183580808934,10079.0,-290.4,-9890.0,3540.904887670581,4598.0,19.914285714285715,-9160.0,3428.114490944725,1667.0,-403.48571428571427,-1212.0,537.4873115563136,3423.0,335.0571428571429,-186.0,681.5938476169248,963.0,460.0857142857143,-143.0,215.75522233861815,1350.0,35.0,20672.0,-35.51428571428571,-8128.0,5377.426917880229,30234.0,-650.7142857142857,-5864.0,6818.771834262464,5630.0,600.4285714285714,-5438.0,2161.591914548631
cross_shadowboxing_medium_20_T7R_1531551242371.txt,7942.0,349.0285714285714,-4575.0,2945.424112932129,7535.0,-72.68571428571428,-8370.0,2847.5773270647887,3255.0,-159.02857142857144,-8612.0,3263.968528951098,1545.0,-356.8285714285714,-1275.0,537.6260719843401,2667.0,354.85714285714283,-240.0,705.5542311610382,962.0,462.6,-4.0,195.966713860228,1350.0,35.0,19454.0,431.8285714285714,-8758.0,5378.714549503628,22670.0,-452.1142857142857,-6401.0,7057.275802408497,5628.0,626.9142857142857,-4045.0,1963.03151470655
