start_mvt,end_mvt,exercise,gyroX_max,gyroX_mean,gyroX_min,gyroX_std,gyroY_max,gyroY_mean,gyroY_min,gyroY_std,gyroZ_max,gyroZ_mean,gyroZ_min,gyroZ_std,highAccelX_max,highAccelX_mean,highAccelX_min,highAccelX_std,highAccelY_max,highAccelY_mean,highAccelY_min,highAccelY_std,highAccelZ_max,highAccelZ_mean,highAccelZ_min,highAccelZ_std,lowAccelX_max,lowAccelX_mean,lowAccelX_min,lowAccelX_std,lowAccelY_max,lowAccelY_mean,lowAccelY_min,lowAccelY_std,lowAccelZ_max,lowAccelZ_mean,lowAccelZ_min,lowAccelZ_std
662,697,jab_cross_shadowboxing_medium_20_T7R_1531551242371.txt,8647,63.77142857,-4162,3079.051192,8490,-285.7142857,-8324,3098.483733,4415,-205.5142857,-9687,3860.270612,1836,-408.7428571,-1278,560.5204169,3241,363.0285714,-151,681.9845386,1000,473.7142857,-15,202.7381057,22363,-87.14285714,-8782,5607.089148,28417,-371.4857143,-5519,6823.157456,6001,738.1428571,-4156,2030.205816
697,732,jab_cross_shadowboxing_medium_20_T7R_1531551242371.txt,8045,52.62857143,-4618,2939.408435,8910,-135.8,-9625,3383.970447,4365,-64.48571429,-9069,3489.889838,1236,-374.3142857,-1218,536.625062,2805,360.2571429,-276,733.0687049,894,454.4571429,-68,188.4126171,16362,256.4571429,-8187,5368.891973,24056,-397.9142857,-6760,7332.806759,4945,545.2857143,-4688,1887.667742
733,768,jab_cross_shadowboxing_medium_20_T7R_1531551242371.txt,7430,-20.02857143,-4363,2775.663434,8239,-246.6571429,-9836,3272.776649,3866,211.7142857,-8492,3071.562915,1346,-409,-1170,467.6824589,2628,315.8857143,-205,573.9206633,896,462.1428571,-37,189.4146002,17466,-89.54285714,-7700,4680.104997,22289,-842.4285714,-6052,5742.492384,4968,623.0857143,-4376,1898.136476
768,803,jab_cross_shadowboxing_medium_20_T7R_1531551242371.txt,7683,106.8,-4262,2928.164751,9272,-176.0857143,-11310,3414.197308,3670,1.314285714,-9778,3656.624438,1483,-380.0857143,-1238,527.5300031,3433,371.1428571,-228,766.7119308,986,465.6571429,6,191.6284614,18835,198.4857143,-8389,5278.396617,30334,-290.4285714,-6281,7669.66032,5869,658.7142857,-3949,1918.91194
837,872,jab_cross_shadowboxing_medium_20_T7R_1531551242371.txt,7730,65.48571429,-3752,2924.698088,7970,-152.8857143,-9564,3176.337891,4258,-10,-9902,3775.029357,1391,-396.8285714,-1199,569.9880022,3029,392.2285714,-244,757.4040062,908,440.3714286,119,185.4890334,17910,29.82857143,-7996,5702.511034,26290,-79.54285714,-6447,7576.963074,5086,404.8,-2816,1857.684514
908,943,jab_cross_shadowboxing_medium_20_T7R_1531551242371.txt,7631,10.94285714,-3850,2925.000422,9940,51.08571429,-8557,3317.777262,4156,-18.8,-10189,3996.807394,1702,-396.9142857,-1178,559.1887176,3157,403.4285714,-177,709.8107157,918,462.4857143,28,192.6038866,21026,29.8,-7783,5594.495214,27570,32.42857143,-5774,7099.838603,5180,626.0571429,-3728,1929.01979
976,1011,jab_cross_shadowboxing_medium_20_T7R_1531551242371.txt,9242,884.1714286,-2905,2830.306972,9680,-688,-10220,4069.35972,4605,-888.8,-13106,4725.197698,1551,-465.6285714,-1463,608.1948259,3085,481.2571429,-316,771.1086115,931,390.7142857,-122,230.5176491,19518,-658,-10638,6084.931403,26850,811.4571429,-7162,7713.270457,5314,-92.57142857,-5225,2308.987215
977,1012,jab_cross_shadowboxing_medium_20_T7R_1531551242371.txt,9242,948.3428571,-2905,2809.945435,9680,-779.2571429,-10220,4079.950528,4605,-1078.057143,-13106,4755.797867,1551,-460.7428571,-1463,609.6459118,3085,491.0285714,-316,767.0391311,931,388.8571429,-122,229.0474062,19518,-609.1428571,-10638,6099.449301,26850,909.3428571,-7162,7672.489783,5314,-111.3142857,-5225,2294.149731
247,296,jab_cross_shadowboxing_slow_20_T7R_1531551153638.txt,7203,69.57142857,-4316,2918.184303,5591,-208.7755102,-9707,2779.621671,5178,6.673469388,-8298,3210.293934,1322,-415.0204082,-862,398.049855,2758,354.5306122,-94,577.4424972,1352,484.6326531,50,208.6034609,17226,-151.5918367,-4626,3982.799235,23585,-455.9591837,-4946,5777.596162,9528,848.4285714,-3504,2088.11479
248,297,jab_cross_shadowboxing_slow_20_T7R_1531551153638.txt,7203,66.85714286,-4316,2918.694821,5591,-215.3673469,-9707,2779.806691,5178,5.530612245,-8298,3209.935624,1322,-418.5510204,-862,396.8320941,2758,351.5306122,-94,578.6214977,1352,482.7346939,50,207.9633156,17226,-186.8163265,-4626,3970.617499,23585,-486.0816327,-4946,5789.436644,9528,829.6122449,-3504,2081.758069
